Start_Time,End_Time,Num_Rows,Final_Price,Price_Diff,Cumulative_Volume,impulso,ratio
2023-10-05 06:06:31.848,2023-10-05 06:06:32.848,3,84.69,0.0,3.0,,
2023-10-05 06:06:58.496,2023-10-05 06:06:59.496,5,84.7,0.0,5.0,,
2023-10-05 06:07:01.856,2023-10-05 06:07:02.856,0,84.7,0.0,0.0,,
2023-10-05 06:07:13.124,2023-10-05 06:07:14.124,0,84.7,0.0,0.0,,
2023-10-05 06:07:20.284,2023-10-05 06:07:21.284,10,84.71,0.009999999999990905,10.0,,
2023-10-05 06:07:30.348,2023-10-05 06:07:31.348,1,84.71,0.0,1.0,0.01999999999999602,50.00000000000995
2023-10-05 06:07:32.208,2023-10-05 06:07:33.208,0,84.71,0.0,0.0,0.009999999999990905,0.0
2023-10-05 06:07:34.208,2023-10-05 06:07:35.208,0,84.71,0.0,0.0,0.009999999999990905,0.0
2023-10-05 06:07:44.360,2023-10-05 06:07:45.360,2,84.71,0.0,2.0,0.009999999999990905,200.0000000001819
2023-10-05 06:07:46.764,2023-10-05 06:07:47.764,1,84.71,0.0,1.0,0.0,1.0
2023-10-05 06:08:04.912,2023-10-05 06:08:05.912,0,84.71,0.0,0.0,0.0,0.0
2023-10-05 06:08:15.736,2023-10-05 06:08:16.736,8,84.71,0.009999999999990905,8.0,0.0,8.0
2023-10-05 06:08:57.044,2023-10-05 06:08:58.044,0,84.71,0.0,0.0,0.0,0.0
2023-10-05 06:09:19.004,2023-10-05 06:09:20.004,0,84.7,0.0,0.0,-0.009999999999990905,0.0
2023-10-05 06:09:22.292,2023-10-05 06:09:23.292,2,84.71,0.009999999999990905,3.0,0.0,2.0
2023-10-05 06:09:31.784,2023-10-05 06:09:32.784,10,84.71,0.0,11.0,0.0,10.0
2023-10-05 06:09:35.976,2023-10-05 06:09:36.976,0,84.72,0.010000000000005116,0.0,0.010000000000005116,0.0
2023-10-05 06:09:41.932,2023-10-05 06:09:42.932,0,84.72,0.0,0.0,0.010000000000005116,0.0
2023-10-05 06:10:09.888,2023-10-05 06:10:10.888,0,84.72,0.0,0.0,0.01999999999999602,0.0
2023-10-05 06:10:35.340,2023-10-05 06:10:36.340,1,84.72,0.0,1.0,0.010000000000005116,99.99999999994884
2023-10-05 06:10:43.204,2023-10-05 06:10:44.204,0,84.72,0.0,0.0,0.010000000000005116,0.0
2023-10-05 06:10:49.492,2023-10-05 06:10:50.492,0,84.72,0.0,0.0,0.0,0.0
